Kousa Dogwood 2	tree name	Deciduous	origin	Asia
Kousa Dogwood 2	tree name	Deciduous	origin	Asia
Eastern Redbud	tree name	Deciduous	origin	North America
White Pine 2	tree name	Coniferous	origin	North America
Northern Sweetbay Magnolia	tree name	Deciduous	origin	North America
Red Maple 2	tree name	Deciduous	origin	North America
English Hawthorn	tree name	Deciduous	origin	Europe
English Hawthorn	tree name	Deciduous	origin	Europe
Red Sunset Maple	tree name	Deciduous	origin	North America
Heritage River Birch	tree name	Deciduous	origin	North America
Sweetbay Magnolia 'Santa Rose'	tree name	Deciduous	origin	North America
Butternut	tree name	Deciduous	origin	North America
Skyline Honey Locust	tree name	Deciduous	origin	North America
Skyline Honey Locust	tree name	Deciduous	origin	Europe
London Plane Tree	tree name	Deciduous	origin	Europe
Northern Red Oak 2	tree name	Deciduous	origin	North America
Douglas Fir 2	tree name	Coniferous	origin	North America
Eastern Redbud 2	tree name	Deciduous	origin	North America
Common Witchhazel	tree name	Coniferous	origin	North America
Ruby Horse Chestnut 4	tree name	Deciduous	origin	Europe
Cucumbertree	tree name	Deciduous	origin	North America
Fraser Fir 2	tree name	Coniferous	origin	North America
Norway Spruce 2	tree name	Coniferous	origin	Europe
Bristlecone Pine	tree name	Coniferous	origin	North America
