Skyline Honey Locust	cname	Deciduous	leaf type	Compound
London Plane Tree	cname	Deciduous	leaf type	Simple
Northern Red Oak 2	cname	Deciduous	leaf type	Simple
Douglas Fir 2	cname	Coniferous	leaf type	Evergreen
Eastern Redbud 2	cname	Deciduous	leaf type	Simple
Common Witchhazel	cname	Coniferous	leaf type	Simple
Ruby Horse Chestnut 4	cname	Deciduous	leaf type	Compound
Cucumbertree	cname	Deciduous	leaf type	Simple
Fraser Fir 2	cname	Coniferous	leaf type	Evergreen
Norway Spruce 2	cname	Coniferous	leaf type	Evergreen
Bristlecone Pine	cname	Coniferous	leaf type	Evergreen
